Time,H1,T1
95,80.0,66.3938
96,80.0,66.3938
97,80.0,66.3938
98,80.0,66.7161
99,80.0,66.3938
100,80.0,66.7161
101,80.0,66.7161
102,80.0,66.7161
103,80.0,66.7161
104,80.0,67.0384
105,80.0,67.0384
106,80.0,67.0384
107,80.0,67.3607
108,80.0,67.0384
109,80.0,67.3607
110,80.0,67.3607
111,80.0,67.3607
112,80.0,67.3607
113,80.0,67.3607
114,80.0,67.68299999999999
115,80.0,67.68299999999999
116,80.0,67.68299999999999
117,80.0,67.68299999999999
118,80.0,67.68299999999999
119,80.0,67.68299999999999
120,80.0,67.68299999999999
121,80.0,68.00529999999999
122,80.0,67.68299999999999
123,80.0,68.00529999999999
124,80.0,68.00529999999999
125,80.0,68.00529999999999
126,80.0,68.00529999999999
127,80.0,68.00529999999999
128,80.0,68.00529999999999
129,80.0,68.00529999999999
130,80.0,68.00529999999999
131,80.0,68.00529999999999
132,80.0,68.00529999999999
133,80.0,68.00529999999999
134,80.0,68.32759999999999
135,80.0,68.32759999999999
136,80.0,68.32759999999999
137,80.0,68.32759999999999
138,80.0,68.32759999999999
139,80.0,68.32759999999999
140,80.0,68.32759999999999
141,80.0,68.32759999999999
142,80.0,68.32759999999999
143,80.0,68.32759999999999
144,80.0,68.32759999999999
145,80.0,68.32759999999999
146,80.0,68.32759999999999
147,80.0,68.32759999999999
148,80.0,68.32759999999999
149,80.0,68.32759999999999
150,80.0,68.32759999999999
151,80.0,68.64989999999999
152,80.0,68.32759999999999
153,80.0,68.32759999999999
154,80.0,68.64989999999999
155,80.0,68.32759999999999
156,80.0,68.64989999999999
157,80.0,68.64989999999999
158,80.0,68.64989999999999
159,80.0,68.64989999999999
160,80.0,68.64989999999999
161,80.0,68.64989999999999
162,80.0,68.64989999999999
163,80.0,68.64989999999999
164,80.0,68.64989999999999
165,80.0,68.64989999999999
166,80.0,68.64989999999999
167,80.0,68.64989999999999
168,80.0,68.64989999999999
169,80.0,68.64989999999999
170,80.0,68.64989999999999
171,80.0,68.64989999999999
172,80.0,68.64989999999999
173,80.0,68.64989999999999
174,80.0,68.64989999999999
175,80.0,68.64989999999999
176,80.0,68.64989999999999
177,80.0,68.64989999999999
178,80.0,68.64989999999999
179,80.0,68.64989999999999
180,80.0,68.64989999999999
181,80.0,68.64989999999999
182,80.0,68.64989999999999
183,80.0,68.64989999999999
184,80.0,68.64989999999999
185,80.0,68.64989999999999
186,80.0,68.64989999999999
187,80.0,68.64989999999999
188,80.0,68.64989999999999
189,80.0,68.64989999999999
190,80.0,68.64989999999999
191,80.0,68.64989999999999
192,80.0,68.64989999999999
193,80.0,68.64989999999999
194,80.0,68.64989999999999
195,80.0,68.64989999999999
196,80.0,68.64989999999999
197,80.0,68.64989999999999
198,80.0,68.64989999999999
199,80.0,68.64989999999999
200,20.0,68.64989999999999
201,20.0,68.00529999999999
202,20.0,67.68299999999999
203,20.0,66.7161
204,20.0,66.0715
205,20.0,65.10459999999999
206,20.0,64.1377
207,20.0,63.17079999999999
208,20.0,62.2039
209,20.0,61.236999999999995
210,20.0,60.27009999999999
211,20.0,59.3032
212,20.0,58.336299999999994
213,20.0,57.6917
214,20.0,56.724799999999995
215,20.0,56.0802
216,20.0,55.113299999999995
217,20.0,54.4687
218,20.0,53.501799999999996
219,20.0,52.8572
220,20.0,52.212599999999995
221,20.0,51.568
222,20.0,50.923399999999994
223,20.0,50.2788
224,20.0,49.63419999999999
225,20.0,48.989599999999996
226,20.0,48.345
227,20.0,48.02269999999999
228,20.0,47.378099999999996
229,20.0,46.7335
230,20.0,46.411199999999994
231,20.0,45.7666
232,20.0,45.4443
233,20.0,44.799699999999994
234,20.0,44.477399999999996
235,20.0,44.1551
236,20.0,43.8328
237,20.0,43.188199999999995
238,20.0,42.865899999999996
239,20.0,42.5436
240,20.0,42.2213
241,20.0,41.898999999999994
242,20.0,41.576699999999995
243,20.0,41.2544
244,20.0,40.9321
245,20.0,40.9321
246,20.0,40.287499999999994
247,20.0,40.287499999999994
248,20.0,39.965199999999996
249,20.0,39.6429
250,20.0,39.3206
251,20.0,39.3206
252,20.0,38.9983
253,20.0,38.675999999999995
254,20.0,38.353699999999996
255,20.0,38.353699999999996
256,20.0,38.353699999999996
257,20.0,38.0314
258,20.0,37.7091
259,20.0,37.7091
260,20.0,37.386799999999994
261,20.0,37.386799999999994
262,20.0,37.064499999999995
263,20.0,37.064499999999995
264,20.0,36.7422
265,20.0,36.7422
266,20.0,36.4199
267,20.0,36.4199
268,20.0,36.4199
269,20.0,36.0976
270,20.0,36.0976
271,20.0,35.775299999999994
272,20.0,35.775299999999994
273,20.0,35.775299999999994
274,20.0,35.452999999999996
275,20.0,35.452999999999996
276,20.0,35.452999999999996
277,20.0,35.452999999999996
278,20.0,35.1307
279,20.0,35.1307
280,20.0,35.1307
281,20.0,35.1307
282,20.0,34.8084
283,20.0,34.8084
284,20.0,34.8084
285,20.0,34.8084
286,20.0,34.4861
287,20.0,34.4861
288,20.0,34.4861
289,20.0,34.4861
290,20.0,34.4861
291,20.0,34.163799999999995
292,20.0,34.163799999999995
293,20.0,34.163799999999995
294,20.0,34.163799999999995
295,20.0,34.163799999999995
296,20.0,34.163799999999995
297,20.0,34.163799999999995
298,20.0,34.163799999999995
299,20.0,33.841499999999996
300,20.0,33.841499999999996
301,20.0,33.841499999999996
302,20.0,33.841499999999996
303,20.0,33.841499999999996
304,20.0,33.841499999999996
305,20.0,33.841499999999996
306,20.0,33.841499999999996
307,20.0,33.841499999999996
308,20.0,33.841499999999996
309,20.0,33.841499999999996
310,20.0,33.841499999999996
311,20.0,33.5192
312,20.0,33.5192
313,20.0,33.5192
314,20.0,33.5192
315,20.0,33.5192
316,20.0,33.5192
317,20.0,33.5192
318,20.0,33.1969
319,20.0,33.5192
320,20.0,33.1969
321,20.0,33.1969
322,20.0,33.5192
323,20.0,33.5192
324,20.0,33.1969
325,20.0,33.1969
326,20.0,33.1969
327,20.0,33.1969
328,20.0,33.1969
329,20.0,33.1969
330,20.0,33.1969
331,20.0,33.1969
332,20.0,33.1969
333,20.0,33.1969
334,20.0,33.1969
335,20.0,33.1969
336,20.0,33.1969
337,20.0,32.8746
338,20.0,33.1969
339,20.0,33.1969
340,20.0,33.1969
341,20.0,33.1969
342,20.0,32.8746
343,20.0,33.1969
344,20.0,33.1969
345,20.0,32.8746
346,20.0,33.1969
347,20.0,32.8746
348,20.0,32.8746
349,20.0,33.1969
350,20.0,33.1969
351,20.0,32.8746
352,20.0,32.8746
353,20.0,32.8746
354,20.0,32.8746
355,20.0,32.8746
356,20.0,32.8746
357,20.0,32.8746
358,20.0,32.8746
359,20.0,32.8746
360,20.0,32.8746
361,20.0,32.8746
362,20.0,32.8746
363,20.0,32.8746
364,20.0,32.8746
365,20.0,32.8746
366,20.0,32.8746
367,20.0,32.8746
368,20.0,32.8746
369,20.0,32.8746
370,20.0,32.8746
371,20.0,32.8746
372,20.0,32.8746
373,20.0,32.8746
374,20.0,32.8746
375,20.0,32.8746
376,20.0,32.8746
377,20.0,32.8746
378,20.0,32.8746
379,20.0,32.8746
380,20.0,32.8746
381,20.0,32.8746
382,20.0,32.8746
383,20.0,32.8746
384,20.0,32.8746
385,20.0,32.8746
386,20.0,32.8746
387,20.0,32.8746
388,20.0,32.8746
389,20.0,32.8746
390,20.0,32.8746
391,20.0,32.8746
392,20.0,32.8746
393,20.0,32.8746
394,20.0,32.8746
395,20.0,32.8746
396,20.0,32.8746
397,20.0,32.8746
398,20.0,32.8746
399,20.0,32.8746
400,50.0,32.8746
401,50.0,33.1969
402,50.0,33.5192
403,50.0,33.841499999999996
404,50.0,34.163799999999995
405,50.0,34.8084
406,50.0,35.1307
407,50.0,35.775299999999994
408,50.0,36.0976
409,50.0,36.7422
410,50.0,37.064499999999995
411,50.0,37.7091
412,50.0,38.0314
413,50.0,38.353699999999996
414,50.0,38.9983
415,50.0,39.3206
416,50.0,39.6429
417,50.0,39.965199999999996
418,50.0,40.287499999999994
419,50.0,40.9321
420,50.0,41.2544
421,50.0,41.576699999999995
422,50.0,41.898999999999994
423,50.0,42.2213
424,50.0,42.5436
425,50.0,42.865899999999996
426,50.0,43.188199999999995
427,50.0,43.188199999999995
